Date,Open,High,Low,Close,Adj Close,Volume
2023-04-04,166.580002,166.839996,165.190002,165.630005,165.630005,46239200
2023-04-05,163.070007,164.179993,161.800003,163.759995,163.759995,48327000
2023-04-06,162.429993,164.960007,162.000000,164.660004,164.660004,45391200
2023-04-10,161.419998,162.029999,160.080002,162.029999,162.029999,47597200
2023-04-11,162.350006,162.360001,160.500000,160.800003,160.800003,47667100
2023-04-12,161.220001,162.059998,159.779999,160.100006,160.100006,50131400
2023-04-13,161.630005,165.800003,160.559998,165.559998,165.559998,68356200
2023-04-14,164.589996,166.320007,163.880005,165.210007,165.210007,49464100
2023-04-17,165.089996,165.389999,163.020004,165.229996,165.229996,41512100
2023-04-18,166.100006,167.410004,165.649994,166.470001,166.470001,49864500
2023-04-19,165.800003,168.160004,165.539993,167.630005,167.630005,47728400
2023-04-20,166.089996,167.869995,166.029999,166.720001,166.720001,48949300
2023-04-21,165.050003,166.440002,164.490005,165.020004,165.020004,58311900
2023-04-24,165.000000,165.669998,163.110001,165.330002,165.330002,41949600
2023-04-25,165.190002,166.309998,163.770004,163.779999,163.779999,56495000
2023-04-26,163.059998,165.279999,162.800003,163.759995,163.759995,45401900
2023-04-27,165.080002,168.559998,165.190002,168.410004,168.410004,64902300
2023-04-28,168.490005,169.850006,167.880005,169.679993,169.679993,61515000
2023-05-01,169.279999,170.449997,168.639999,169.589996,169.589996,52392900
2023-05-02,170.089996,170.350006,167.529999,168.539993,168.539993,48426700
2023-05-03,169.500000,170.570007,167.160004,167.449997,167.449997,46239100
2023-05-04,164.889999,167.039993,164.300003,165.799995,165.799995,81235000
2023-05-05,166.759995,174.300003,165.800003,173.570007,173.570007,113355400
2023-05-08,172.979996,173.850006,172.449997,173.500000,173.500000,55926400
2023-05-09,173.050003,173.539993,171.860001,171.960007,171.960007,45316000
2023-05-10,173.050003,174.029999,172.309998,173.559998,173.559998,47051600
2023-05-11,173.850006,174.589996,173.000000,173.509995,173.509995,45311700
2023-05-12,173.919998,175.059998,172.839996,174.570007,174.570007,45755300
2023-05-15,173.160004,173.270004,171.770004,172.070007,172.070007,37227000
2023-05-16,171.990005,173.130005,171.800003,172.070007,172.070007,37505300
2023-05-17,171.770004,172.640005,170.190002,170.199997,170.199997,49495100
2023-05-18,171.339996,171.820007,169.649994,170.089996,170.089996,42306200
2023-05-19,169.699997,172.070007,169.500000,171.000000,171.000000,55713500
2023-05-22,171.500000,173.380005,171.000000,173.210007,173.210007,41834700
2023-05-23,173.130005,173.880005,171.550003,171.559998,171.559998,37426200
2023-05-24,171.080002,171.839996,169.520004,170.429993,170.429993,45149500
2023-05-25,172.410004,173.899994,172.339996,172.990005,172.990005,38286500
2023-05-26,173.320007,174.300003,171.910004,172.970001,172.970001,41820600
2023-05-30,173.039993,178.350006,173.000000,177.300003,177.300003,76174300
2023-05-31,177.330002,179.350006,176.929993,177.250000,177.250000,66319300
2023-06-01,177.699997,180.119995,176.929993,180.089996,180.089996,61614900
2023-06-02,181.779999,182.889999,179.169998,180.949997,180.949997,61993100
2023-06-05,182.630005,184.990005,180.830002,184.910004,184.910004,62524600
2023-06-06,183.130005,183.880005,180.210007,183.169998,183.169998,46722000
2023-06-07,183.369995,183.949997,180.830002,181.569992,181.569992,47972000
2023-06-08,183.169998,183.460007,182.410004,182.899994,182.899994,39463800
